Attribute VB_Name = "Module1"
' TIPOS NPC
Respawn = 0
NROITEMS = 5
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 705 - 100
Obj4 = 573 - 100
Obj5 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos Banderbille

[NPC52] ' FUERA DE USO
Name = Rantarisk
Desc=¡Hola, forastero! vendemos las mejores propiedades de Banderbill.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 9
NROITEMS = 18
Obj1 = 266 - 1
Obj2 = 270 - 1
Obj3 = 274 - 1
Obj4 = 278 - 1
Obj5 = 282 - 1
Obj6 = 286 - 1
Obj7 = 290 - 1
Obj8 = 294 - 1
Obj9 = 298 - 1
Obj10 = 323 - 1
Obj11 = 327 - 1
Obj12 = 331 - 1
Obj13 = 335 - 1
Obj14 = 339 - 1
Obj15 = 343 - 1
Obj16 = 347 - 1
Obj17 = 351 - 1
Obj18 = 355 - 1
InvReSpawn = 1
BackUp = 1
Domable = 0
info = Deshabilitado

[NPC53] 'NPC Comida: 26, 25, 27.
Name = Roksar
Desc=Dispongo de todo tipo de provisiones.
Head = 4
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 3
Inflacion = 0
Obj1 = 26 - 100
Obj2 = 27 - 100
Obj3 = 25 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Banderbille

[NPC54] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550. T: 135, 381, 238, 675.
Name = Sastre
Desc=¡Hola forastero! Puedes obtener aquí las mejores ropas de la zona.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 28
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 240 - 100
Obj5 = 527 - 100
Obj6 = 515 - 100
Obj7 = 504 - 100
Obj8 = 505 - 100
Obj9 = 506 - 100
Obj10 = 490 - 100
Obj11 = 486 - 100
Obj12 = 511 - 100
Obj13 = 382 - 100
Obj14 = 488 - 100
Obj15 = 512 - 100
Obj16 = 656 - 100
Obj17 = 657 - 100
Obj18 = 694 - 100
Obj19 = 707 - 100
Obj20 = 510 - 100
Obj21 = 513 - 100
Obj22 = 697 - 100
BackUp = 1
Domable = 0
info=Sastre de Banderbille

[NPC172]
Name = Sastre
Desc=Cubre tu cuerpo con las túnicas mas resistentes del continente.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Banderbille (túnicas gnomo/enano)

[NPC173]
Name = Sastre
Desc=Camúflate y abrigate con mis túnicas.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Banderbille (túnicas humano/elfo/elfo oscuro)


[NPC55] 'NPC Armas: 15, 2, 3, 579, 580, 581, 399, 126, 705.
Name = Herrero
Desc=No importa que esta sea la ciudad más segura del continente. Siempre podrías necesitar armas cuando salgas de ella. Compra una!
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Banderbill (armas)

[NPC56]
Name = Herrero
Desc=Una armadura resistente, sin duda, te ayudará.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 672 - 100
Obj2 = 359 - 100
Obj3 = 499 - 100
Obj4 = 671 - 100
Obj5 = 356 - 100
Obj6 = 360 - 100
Obj7 = 391 - 100
Obj8 = 243 - 100
Obj9 = 497 - 100
Obj10 = 500 - 100
Obj11 = 496 - 100
Obj12 = 693 - 100
Obj13 = 495 - 100
Obj14 = 650 - 100
Obj15 = 487 - 100
Obj16 = 667 - 100
Obj17 = 485 - 100
Obj18 = 481 - 100
Obj19 = 482 - 100
Obj20 = 483 - 100
BackUp = 1
Domable = 0
info=Herrero de Banderbill (armaduras)

[NPC165]
Name = Herrero
Desc=Cubrete con mis escudos y mis cascos, pueden salvarte la vida.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 404 - 100
Obj2 = 608 - 100
Obj3 = 130 - 100
Obj4 = 616 - 100
Obj5 = 623 - 100
Obj6 = 568 - 100
Obj7 = 567 - 100
Obj8 = 405 - 100
Obj9 = 564 - 100
BackUp = 1
Domable = 0
info=Herrero de Banderbill (cascos y escudos)

[NPC57] 'NPC
Name = Banquero
Desc=Hola, bienvenido a la cadena de finanzas Goliath. Somos la mas grande cadena de finanzas en Argentum, contamos con bancos en todas las ciudades.
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
Info=Banquero de Banderbille

[NPC58] 'NPC Pescador: 543, 138.
Name = Pescador
Desc=¡Bienvenido al gremio de pescadores!
Head = 101
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 2
Obj1 = 138 - 100
Obj2 = 543 - 100
BackUp = 1
Domable = 0
info=Pescador de Banderbille

[NPC59] ' CARPINTERO Carpintería: 127, 198, 478, 479, 596, 601, 480.
Name = Leñador
Desc=¡Hola muchacho!, soy uno de los mejores carpinteros de la zona.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 14
NROITEMS = 5
Obj1 = 127 - 100
Obj2 = 198 - 100
Obj3 = 478 - 100
Obj4 = 596 - 100
Obj5 = 479 - 100
BackUp = 1
Domable = 0
info=Carpintero de Banderbille

[NPC60] ' Entrenador de Banderbille
Name = O 'Riley de Banderbill
NpcType = 3
Desc=¡Hola amigo! Soy el maestro de armas de la milicia de Banderbill, si deseas que traiga una criatura solo debes pedírmelo.
Head = 6
Body = 57
Heading = 3
Movement = 1
NroCriaturas = 5
CI1 = 641
CI2 = 545
CI3 = 642
CI4 = 643
CI5 = 638
CN1 = Murciélago
CN2 = Lobo
CN3 = Cobra
CN4 = Escorpion
CN5 = Goblin
Domable = 0
info=Entrenador de Banderbille

[NPC113] ' Minero Minería: 187, 398, 753.
Name = Minero
Desc=Si quieres ser un minero, mi negocio te será de ayuda.
Head = 2
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 23
NROITEMS = 3
Obj1 = 187 - 100
Obj2 = 753 - 100
Obj3 = 389 - 100
BackUp = 1
Domable = 0
info=Minero de Bander

[NPC116] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=Las pociones que vendo han sido hechas por los mejores alquimistas de estas tierras.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedor de pociones

[NPC107] ' Rey de Banderbill
Name=Theoden, Rey de Banderbill
NpcType = 5
Faccion = 1
Desc=Te encuentras en la ciudad más poderosa de estas tierras, Banderbill. Si quieres unirte a la alianza que luchará contra Lord Azhimur, escribe /ENLISTAR.
Head = 4
Body = 63
Heading = 3
Movement = 1
Attackable = 0

'************************************* NPCS BANDERBILL ***************************************
'*********************************************************************************************


'************************************* NPCS LINDOS *******************************************
'*********************************************************************************************

[NPC61]
Name = Mago
Desc=Puedo enseñarte hechizos que posiblemente te sean de mucha utilidad.
Head = 6
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 10
Obj1 = 363 - 100
Obj2 = 364 - 100
Obj3 = 397 - 100
Obj4 = 396 - 100
Obj5 = 470 - 100
Obj6 = 471 - 100
Obj7 = 394 - 100
Obj8 = 395 - 100
Obj9 = 542 - 100
Obj10 = 751 = 100
Domable = 0
info=Vendedor de hechizos de Lindos

[NPC203]
Name = Mago
Info=Mago de Lindos
Desc=Usa el equipamiento que te ofrezco si quieres sobrevivir.
Head = 2
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 5
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 705 - 100
Obj4 = 573 - 100
Obj5 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos Lidos

[NPC62] ' FUERA DE USO
Name = Guldorf
Desc=¡Hola, forastero! vendemos las mejores propiedades.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 9
NROITEMS = 7
Obj1 = 420 - 1
Obj2 = 424 - 1
Obj3 = 428 - 1
Obj4 = 432 - 1
Obj5 = 436 - 1
Obj6 = 440 - 1
Obj7 = 444 - 1
InvReSpawn = 1
BackUp = 1
Domable = 0
info = Deshabilitado

[NPC68] 'NPC Pescador: 543, 138.
Name = Pescador
Desc=¡Hola forastero, bienvenido a Lindos!
Head = 102
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 10
Obj1 = 138 - 100
Obj2 = 543 - 100
BackUp = 1
Domable = 0
info=Pescador de Lindos

[NPC70] 'NPC 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550, 508. 135, 381, 238, 675, 357.
Name = Sastre
Desc=¡Hola forastero! confeccionamos las mejores ropas de la zona
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 28
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 240 - 100
Obj5 = 527 - 100
Obj6 = 515 - 100
Obj7 = 504 - 100
Obj8 = 505 - 100
Obj9 = 506 - 100
Obj10 = 490 - 100
Obj11 = 486 - 100
Obj12 = 511 - 100
Obj13 = 382 - 100
Obj14 = 488 - 100
Obj15 = 512 - 100
Obj16 = 656 - 100
Obj17 = 657 - 100
Obj18 = 694 - 100
Obj19 = 707 - 100
Obj20 = 510 - 100
Obj21 = 513 - 100
Obj22 = 697 - 100
BackUp = 1
Domable = 0
info=Sastre de Lindos

[NPC174]
Name = Sastre
Desc=Estas túnicas te defenderan, yo mísmo las confeccioné.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Lindos (túnicas gnomo/enano)

[NPC175]
Name = Sastre
Desc=Cubre tu cuerpo con estas túnicas, muchos afirman que son las más resistentes.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Lindos (túnicas humano/elfo/elfo oscuro)

[NPC71] 'NPC Armas: 15, 2, 3, 579, 580, 399, 126, 123.
Name = Brotherson
Desc=No es esta la ciudad más segura del continente. Sin duda te será de mucha utilidad un buen arma por si acaso...
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Lindos (armas)

[NPC159]
Name = Herrero
Desc=Cubre tu cuerpo con fuertes armaduras si no quieres morir.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 672 - 100
Obj2 = 359 - 100
Obj3 = 499 - 100
Obj4 = 671 - 100
Obj5 = 356 - 100
Obj6 = 360 - 100
Obj7 = 391 - 100
Obj8 = 243 - 100
Obj9 = 497 - 100
Obj10 = 500 - 100
Obj11 = 496 - 100
Obj12 = 693 - 100
Obj13 = 495 - 100
Obj14 = 650 - 100
Obj15 = 487 - 100
Obj16 = 667 - 100
Obj17 = 485 - 100
Obj18 = 481 - 100
Obj19 = 482 - 100
Obj20 = 483 - 100
BackUp = 1
Domable = 0
info=Herrero de Lindos (armaduras)

[NPC164]
Name = Herrero
Desc=Cubrete con mis escudos y mis cascos, pueden salvarte la vida.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 404 - 100
Obj2 = 608 - 100
Obj3 = 130 - 100
Obj4 = 616 - 100
Obj5 = 623 - 100
Obj6 = 568 - 100
Obj7 = 567 - 100
Obj8 = 405 - 100
Obj9 = 564 - 100
BackUp = 1
Domable = 0
info=Herrero de Lindos (cascos y escudos)

[NPC124] 'NPC Bebida: 43, 160, 161, 42.
Name=Bebida Lindos
Desc=¿Quieres bebida? Puedo darte lo que desees, siempre y cuando puedas pagarla.
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 4
Obj1 = 42 - 100
Obj2 = 43 - 100
Obj3 = 160 - 100
Obj4 = 161 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de Lindos

[NPC69] 'NPC Comida: 26, 25, 27.
Name = Argal
Info=Comida Lindos
Desc=En esta isla, nadie puede ofrecerte mejores manjares que yo.
Head = 2
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 3
Inflacion = 0
Obj1 = 25 - 100
Obj2 = 26 - 100
Obj3 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Lindos

[NPC104] ' Rey de Lindos
Name=Caramon, Rey de Lindos
NpcType = 5
Faccion = 1
Desc=Soy Caramon, Rey de esta hermosa isla. Junto con los otros reyes de estas tierras, buscamos armar un ejército que destruya a Lord Azhimur. Si te interesa unirte, escribe /ENLISTAR.
Head = 7
Body = 63
Heading = 3
Movement = 1
Attackable = 0
info=Rey de Lindos

'************************************* NPCS LINDOS *******************************************
'*********************************************************************************************



'************************************* NPCS HILIDIAN *****************************************
'*********************************************************************************************

[NPC110] 'NPC Armas: 15, 2, 3, 579, 581, 399, 126, 401, 705.
Name = Herrero
Desc=Hilidian es una de las poblaciones más pacíficas de estas tierras, lo que no significa que no necesitemos defendernos con armas... Compra una!
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Hilidian (armas)

[NPC111]
Name = Herrero
Desc=En estos momentos de guerra, si eres un luchador nada mejor que una buena armadura para tu protección.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 672 - 100
Obj2 = 359 - 100
Obj3 = 499 - 100
Obj4 = 671 - 100
Obj5 = 356 - 100
Obj6 = 360 - 100
Obj7 = 391 - 100
Obj8 = 243 - 100
Obj9 = 497 - 100
Obj10 = 500 - 100
Obj11 = 496 - 100
Obj12 = 693 - 100
Obj13 = 495 - 100
Obj14 = 650 - 100
Obj15 = 487 - 100
Obj16 = 667 - 100
Obj17 = 485 - 100
Obj18 = 481 - 100
Obj19 = 482 - 100
Obj20 = 483 - 100
BackUp = 1
Domable = 0
info=Herrero de Hilidian (armaduras)

[NPC163]
Name = Herrero
Desc=Puedes necesitar cubrirte con escudos o cascos.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 404 - 100
Obj2 = 608 - 100
Obj3 = 130 - 100
Obj4 = 616 - 100
Obj5 = 623 - 100
Obj6 = 568 - 100
Obj7 = 567 - 100
Obj8 = 405 - 100
Obj9 = 564 - 100
BackUp = 1
Domable = 0
info=Herrero de Hilidian (cascos y escudos)

[NPC119] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550, 508.
'Túnicas: 135, 381, 238, 675, 357,526, 525.
Name=Sastre Hilidian
Desc=Siempre es bueno andar bien vestido, y más con el frío que aquí hace.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 28
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 240 - 100
Obj5 = 527 - 100
Obj6 = 515 - 100
Obj7 = 504 - 100
Obj8 = 505 - 100
Obj9 = 506 - 100
Obj10 = 490 - 100
Obj11 = 486 - 100
Obj12 = 511 - 100
Obj13 = 382 - 100
Obj14 = 488 - 100
Obj15 = 512 - 100
Obj16 = 656 - 100
Obj17 = 657 - 100
Obj18 = 694 - 100
Obj19 = 707 - 100
Obj20 = 510 - 100
Obj21 = 513 - 100
Obj22 = 697 - 100
BackUp = 1
Domable = 0
info=Sastre de Hilidian

[NPC176]
Name = Sastre
Desc=Con las bajas temperaturas de estas zonas, necesitarás una de mis túnicas.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Hilidian (túnicas gnomo/enano)

[NPC177]
Name = Sastre
Desc=Abrigate, por estas zonas, el frío es abundante.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Hilidian (túnicas humano/elfo/elfo oscuro)

[NPC130] 'NPC Bebida: 26, 25, 27, 43, 160, 161.
Name=Bebida Hilidian
Desc=¡Hola! Bienvenido a esta hermosa taberna. ¿Deseas beber algo mientras cuentas tus historias?
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 7
Obj1 = 26 - 100
Obj2 = 25 - 100
Obj3 = 27 - 100
Obj4 = 43 - 100
Obj6 = 160 - 100
Obj7 = 161 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de Hilidian

[NPC131] 'NPC Hechizos: 716, 539, 717, 718, 719, 721.
Name = Mago
Desc=Los hechizos que pueden encontrar aquí no pueden ser aprendidos por cualquiera. Será mejor que averigües antes de comprarlos.
Head = 6
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 536 - 100
Obj2 = 538 - 100
Obj3 = 319 - 100
Obj4 = 719 - 100
Obj5 = 752 - 100
Obj6 = 202 - 100
Obj7 = 758 - 100
Obj8 = 539 - 100
Obj9 = 720 - 100
Domable = 0
info=Vendedor de hechizos de Hilidian

[NPC204]
Name = Mago
Info=Mago de hilidian
Desc=Si buscabas sombreros o báculos, puedo ofrecerte algo.
Head = 2
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 5
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 705 - 100
Obj4 = 573 - 100
Obj5 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos hilidian

[NPC132] 'NPC Pescador: 543, 138.
Name = Pescador
Desc=¡Hola forastero, bienvenido a nuestro pueblo nevado!
Head = 101
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 10
Obj1 = 543 - 100
Obj2 = 138 - 100
BackUp = 1
Domable = 0
info=Pescador de Hilidian

[NPC133] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=De seguro mis pociones te serán de utilidad ya sea para entrenar o enfrentar al enemigo.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedor de pociones

[NPC134] 'NPC
Name = Argal
Info=Comida Hilidian
Desc=¡Hola buen amigo! ¿Puedo ofrecerte comida?
Head = 2
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 3
Inflacion = 0
Obj1 = 24 - 100
Obj2 = 26 - 100
Obj3 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Hilidian

[NPC135] 'NPC
Name = Banquero
Desc=Hola, también aquí puedes encontrar uno de nuestros bancos. No los desaproveches!
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
info=Banquero de Hilidian

[NPC72] 'Rey de Hilidian
Name=Sturm, Rey de Hilidian
NpcType = 5
Faccion = 1
Desc=Yo soy Sturm, Rey de esta hermosa ciudad nevada. Si quieres sumarte a las tropas del Flamius que combatirán al ejército de Lord Azhimur, escribe /ENLISTAR.
Head = 102
Body = 63
Heading = 3
Movement = 1
Attackable = 0
info=Rey de Hilidian

'************************************* NPCS HILIDIAN *****************************************
'*********************************************************************************************



'************************************* NPCS ESPERANZA ****************************************
'*********************************************************************************************

[NPC64] 'NPC Pescador: 543, 138.
Name = Pescador
Desc=¡Hola forastero, bienvenido a Nueva Esperanza!
Head = 101
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 2
Obj1 = 138 - 100
Obj2 = 543 - 100
BackUp = 1
Domable = 0
info=Pescador de Esperanza

[NPC125] 'NPC Armas: 15, 2, 3, 579, 580, 581, 399, 126, 705.
Name = Brotherson
Desc=Estas tierras iban a servir de refugio para los habitantes del continente, mientras Shiniban se expandía. Una vez derrotado, han sido abandonadas y son realmente poco seguras!
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Esperanza (armas)

[NPC126] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=Las pociones aquí son caras, ya que el riesgo a robos y saqueos es constante por aquí.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedor de pociones de Esperanza

[NPC99] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550, 508. Túnicas: 135, 381, 238, 675, 357,526, 525.
Name=Sastre Esperanza
Desc=¿Necesitas una vestimenta? Elige entre nuestra gran variedad!
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
